70.11469.82
Time_days      V    Verr    R    Rerr
 2217.65     18.146    0.047   17.479    0.044
 2219.73     18.134    0.056   17.510    0.054
 2222.67     18.178    0.052   17.525    0.048
 2229.52     18.083    0.050   17.519    0.052
 2236.54     17.879    0.054   17.313    0.046
 2238.70     18.092    0.059   17.450    0.049
 2240.61     17.789    0.047   17.265    0.049
 2242.63     18.064    0.050   17.469    0.047
 2244.62     18.005    0.058   17.334    0.046
 2246.65     18.016    0.059   17.439    0.054
 2251.64     17.970    0.054   17.360    0.047
 2255.57     18.062    0.093   17.382    0.071
 2257.69     17.825    0.048   17.212    0.042
 2259.55     18.076    0.061   17.441    0.051
 2261.69    -99.000  -99.000   17.324    0.051
 2285.45     18.319    0.045   17.632    0.051
 2287.50     18.223    0.065   17.574    0.063
 2310.46     18.243    0.056   17.807    0.085
 2319.43     18.211    0.066   17.754    0.076
 2329.40     18.151    0.054   17.551    0.065
 2350.38     18.166    0.066   17.209    0.023
 2358.35     18.220    0.058   17.505    0.057
 2368.36     18.053    0.053   17.341    0.054
 2372.83     17.978    0.047   17.453    0.056
 2381.78     17.949    0.046   17.445    0.054
 2405.72     17.826    0.055   17.291    0.052
 2411.72     18.087    0.048   17.474    0.040
 2426.74     18.050    0.046   17.501    0.050
 2433.64     18.021    0.044   17.441    0.043
 2438.69     17.963    0.057   17.344    0.043
 2449.69     18.022    0.046   17.452    0.047
 2461.57     18.051    0.071   17.550    0.075
 2463.57     17.930    0.041   17.409    0.046
 2466.59     18.208    0.087   17.516    0.066
 2478.56     17.982    0.042   17.399    0.039
 2483.57     17.856    0.062   17.434    0.072
 2486.72     18.054    0.046   17.423    0.041
 2489.61     18.017    0.050   17.409    0.050
 2491.68     18.044    0.048   17.419    0.046
 2496.65     18.289    0.052   17.626    0.040
 2508.51     18.125    0.046   17.570    0.049
 2513.62     18.157    0.044   17.522    0.044
 2513.68     18.116    0.046   17.536    0.049
 2518.54     18.162    0.049   17.558    0.050
 2524.67     18.172    0.048   17.517    0.041
 2534.56     18.052    0.050   17.472    0.052
 2544.68     18.058    0.058   17.276    0.036
 2548.60     18.215    0.033   17.523    0.040
 2553.59     18.125    0.056  -99.000  -99.000
 2557.63     18.106    0.060   17.142    0.023
 2560.52     18.168    0.052  -99.000  -99.000
 2561.73     18.300    0.072   17.589    0.050
 2566.75     18.305    0.073   17.621    0.051
 2572.58     18.206    0.043   17.471    0.025
 2583.69     18.241    0.051   17.640    0.053
 2591.74     18.175    0.059  -99.000  -99.000
 2600.70     18.174    0.054   17.453    0.046
 2604.63     18.190    0.058   17.476    0.051
 2608.71     18.220    0.055   17.587    0.042
 2618.50     18.279    0.056   17.324    0.026
